name,lat,lon,maree,leurres,notes
Saint-Michel-en-Grève – Bordures rocheuses (vers l’eau),48.6805,-3.5625,"['Montante', 'Renverse']","['Surface', 'Souple']",Viser les têtes rocheuses atteignables à mi-montante; prudence houle.
Beg ar Fry – Plateaux rocheux (rive),48.6603,-3.5968,"['Montante', 'Descendante']","['Surface', 'Souple']",Plateaux exposés; stickbaits à l’aube puis souples texan dans les failles.
Locquémeau – Pointe du Dourven (bord eau),48.7049,-3.5219,"['Renverse', 'Descendante']","['Surface', 'Plongeant']",Forts courants sur l’épaule; jerkbait peu plongeant si clapot. Sécurité ++.
Locquémeau – Moulin de la Rive (bordure),48.6995,-3.5172,"['Montante', 'Renverse']","['Surface', 'Souple', 'Plongeant']",Cassures proches du bord; minnows 110–140 ou shads 10–12 cm.
Beg Léguer – Goas Lagorn (haut de plage),48.7267,-3.4806,['Montante'],"['Surface', 'Souple']",Prospecter les têtes affleurantes à mi/fin de montante; surface tôt.
Beg Léguer – Maez an Aod (rochers rive),48.7359,-3.4687,"['Montante', 'Descendante']","['Surface', 'Souple']",Bordures rocheuses à gauche; LS naturels lents entre laminaires.
Trébeurden – Pointe de Bihit (escarpement),48.7803,-3.5826,"['Montante', 'Renverse']","['Surface', 'Plongeant']","Classique du bord; surface au clapot, jerkbait coulant si courant soutenu."
Trébeurden – Pors Mabo (bord eau),48.7736,-3.5718,['Montante'],"['Surface', 'Souple']",Plateaux faciles d’accès; wader utile par mer calme.
Trébeurden – Toëno (tombants),48.7647,-3.561,"['Renverse', 'Descendante']","['Souple', 'Plongeant']","Tombants proches du chenal; shads 10–12 cm, têtes 7–14 g."
Trégastel – Pointe du Squewel (bordure),48.8278,-3.5057,"['Montante', 'Renverse']","['Surface', 'Souple']",Rochers/laminaires; surface à l’aube puis gratter les failles.
Trégastel – Coz Pors (rochers),48.8246,-3.5009,['Montante'],"['Surface', 'Plongeant']",Petites anses abritées; minnows peu plongeants si eau claire.
Pleumeur-Bodou – Pont d’Île Grande (accès têtes),48.7912,-3.5388,"['Montante', 'Renverse', 'Descendante']","['Surface', 'Souple', 'Plongeant']",Multiples têtes selon marée; texan utile.
