name,lat,lon,maree,leurres,notes
Saint-Michel-en-Grève – Bordures rocheuses (ajusté),48.6809,-3.5601,"['Montante', 'Renverse']","['Surface', 'Souple']",Têtes rocheuses accessibles à mi-montante; prudence houle.
Beg ar Fry – Plateaux rocheux (ajusté),48.6608,-3.6003,"['Montante', 'Descendante']","['Surface', 'Souple']",Plateaux exposés; surface à l’aube puis souples texan.
Locquémeau – Pointe du Dourven (tip ajusté),48.7068,-3.5248,"['Renverse', 'Descendante']","['Surface', 'Plongeant']",Extrémité rocheuse côté courant; jerkbait peu plongeant si clapot. Sécurité ++.
Locquémeau – Moulin de la Rive (ajusté),48.701,-3.5162,"['Montante', 'Renverse']","['Surface', 'Souple', 'Plongeant']",Cassures proches du bord; minnows 110–140 ou shads 10–12 cm.
Beg Léguer – Goas Lagorn (ajusté),48.728,-3.4828,['Montante'],"['Surface', 'Souple']",Prospecter têtes affleurantes à mi/fin de montante; surface tôt.
Beg Léguer – Maez an Aod (ajusté),48.7365,-3.468,"['Montante', 'Descendante']","['Surface', 'Souple']",Bordures rocheuses à gauche; LS naturels lents.
Trébeurden – Pointe de Bihit (ajusté),48.7817,-3.5859,"['Montante', 'Renverse']","['Surface', 'Plongeant']","Point avancé; surface au clapot, jerkbait coulant si courant."
Trébeurden – Pors Mabo (ajusté),48.7737,-3.5717,['Montante'],"['Surface', 'Souple']",Plateaux faciles d’accès; wader utile par mer calme.
Trébeurden – Toëno (tombants ajusté),48.7653,-3.5582,"['Renverse', 'Descendante']","['Souple', 'Plongeant']",Tombants près du chenal; shads 10–12 cm.
Trégastel – Pointe du Squewel (ajusté),48.8276,-3.5067,"['Montante', 'Renverse']","['Surface', 'Souple']",Rochers/laminaires; surface à l’aube puis souples.
Trégastel – Coz Pors (rochers ajusté),48.8248,-3.5013,['Montante'],"['Surface', 'Plongeant']",Petites anses abritées; minnows peu plongeants si eau claire.
Pleumeur-Bodou – Pont d’Île Grande (ajusté),48.791,-3.5399,"['Montante', 'Renverse', 'Descendante']","['Surface', 'Souple', 'Plongeant']",Multiples têtes selon marée; texan utile.
